parameter_mapping,parameter_name,parameter_description,parameter_id,description
3143,52438,Heart ventricle,IMPC_EMO_169_001,"Heart ventricle heart_ventricle, "
3144,52439,Vertebra,IMPC_EMO_170_001,"Vertebra vertebra, "
3145,52440,Vibrissa,IMPC_EMO_171_001,"Vibrissa vibrissa, "
3146,52441,Oedema,IMPC_EMO_172_001,"Oedema oedema, "
3147,52442,physiological umbilical hernia morphology,IMPC_EMO_173_001,"physiological umbilical hernia morphology physiological_umbilical_hernia_morphology, "
3148,52443,Cervical flexure morphology,IMPC_EMO_174_001,"Cervical flexure morphology cervical_flexure_morphology, "
3149,52444,Size,IMPC_EMO_175_001,"Size size, "
3150,52445,Spine curvature,IMPC_EMO_176_001,"Spine curvature spine_curvature, "
3151,52446,Craniofacial morphology,IMPC_EMO_177_001,"Craniofacial morphology craniofacial_morphology, "
3152,52447,Annotator ID,IMPC_EMO_178_001,"Annotator ID annotator_id, "
3153,52448,Date of Annotation,IMPC_EMO_179_001,"Date of Annotation date_of_annotation, "
3154,21452,Sodium,IMPC_CBC_001_001,"Sodium sodium, "
3155,21453,Potassium,IMPC_CBC_002_001,"Potassium potassium, "
3156,21454,Chloride,IMPC_CBC_003_001,"Chloride chloride, "
3157,21455,Urea (Blood Urea Nitrogen - BUN),IMPC_CBC_004_001,"Urea (Blood Urea Nitrogen - BUN) urea, "
3158,21456,Creatinine,IMPC_CBC_005_001,"Creatinine creatinine_enzymatic_method_preferred_, "
3159,21457,Total protein,IMPC_CBC_006_001,"Total protein total_protein, "
3160,21458,Albumin,IMPC_CBC_007_001,"Albumin albumin, "
3161,21459,Total bilirubin,IMPC_CBC_008_001,"Total bilirubin total_bilirubin, "
3162,21460,Calcium,IMPC_CBC_009_001,"Calcium calcium, "
3163,21461,Phosphorus,IMPC_CBC_010_001,"Phosphorus phosphate, "
3164,21462,Iron,IMPC_CBC_011_001,"Iron iron, "
3165,21463,Aspartate aminotransferase,IMPC_CBC_012_001,"Aspartate aminotransferase aspartate_aminotransferase, "
3166,21464,Alanine aminotransferase,IMPC_CBC_013_001,"Alanine aminotransferase alanine_aminotransferase, "
3167,21465,Alkaline phosphatase,IMPC_CBC_014_001,"Alkaline phosphatase alkaline_phosphatase, "
3168,21466,Total cholesterol,IMPC_CBC_015_001,"Total cholesterol total_cholesterol, "
3169,21467,HDL-cholesterol,IMPC_CBC_016_001,"HDL-cholesterol hdl_cholesterol, "
3170,21468,Triglycerides,IMPC_CBC_017_001,"Triglycerides triglycerides, "
3171,21469,Glucose,IMPC_CBC_018_001,"Glucose glucose, "
3172,21470,LIH (Hemolysis Severity - available on AU analysers),IMPC_CBC_019_001,"LIH (Hemolysis Severity - available on AU analysers) lih_hemolysis_severity_available_on_au_analysers_, "
3173,21471,Fructosamine,IMPC_CBC_020_001,"Fructosamine fructosamine, "
3174,21472,Lipase,IMPC_CBC_021_001,"Lipase lipase, "
3175,21473,Lactate dehydrogenase,IMPC_CBC_022_001,"Lactate dehydrogenase lactate_dehydrogenase, "
3176,21474,Alpha-amylase,IMPC_CBC_023_001,"Alpha-amylase alpha_amylase, "
3177,21475,UIBC (unsaturated iron binding capacity),IMPC_CBC_024_001,"UIBC (unsaturated iron binding capacity) uibc_unsaturated_iron_binding_capacity_, "
3178,21476,LDL-cholesterol,IMPC_CBC_025_001,"LDL-cholesterol ldl_cholesterol, "
3179,21477,Free fatty acids,IMPC_CBC_026_001,"Free fatty acids free_fatty_acids, "
3180,21478,Glycerol,IMPC_CBC_027_001,"Glycerol glycerol, "
3181,21479,Creatine kinase,IMPC_CBC_028_001,"Creatine kinase creatine_kinase, "
3182,21480,Uric acid,IMPC_CBC_029_001,"Uric acid uric_acid, "
3183,21481,Ferritin,IMPC_CBC_030_001,"Ferritin ferritin, "
3184,21482,Transferrin,IMPC_CBC_031_001,"Transferrin transferrin, "
3185,21483,C-reactive protein,IMPC_CBC_032_001,"C-reactive protein c_reactive_protein, "
3186,21484,Equipment ID,IMPC_CBC_033_001,"Equipment ID equipment_name, "
3187,21485,Equipment manufacturer,IMPC_CBC_034_001,"Equipment manufacturer equipment_manufacturer, "
3188,21486,Equipment model,IMPC_CBC_035_001,"Equipment model equipment_model, "
3189,21487,Anesthesia used for blood collection,IMPC_CBC_036_001,"Anesthesia used for blood collection anesthesia_used_for_blood_collection, "
3190,21488,Method of blood collection,IMPC_CBC_037_001,"Method of blood collection method_of_blood_collection, "
3191,21489,Anticoagulant,IMPC_CBC_038_001,"Anticoagulant anticoagulant, "
3192,21490,Samples kept on ice between collection and analysis,IMPC_CBC_042_001,"Samples kept on ice between collection and analysis samples_kept_on_ice_between_collection_and_analysis, "
3193,21491,Sample status,IMPC_CBC_043_001,"Sample status sample_status, "
3194,21492,Sample dilution,IMPC_CBC_044_001,"Sample dilution plasma_dilution, "
3195,21493,ID of blood collection SOP,IMPC_CBC_045_001,"ID of blood collection SOP id_of_blood_collection_sop, "
3196,21494,Date and time of blood collection,IMPC_CBC_046_001,"Date and time of blood collection date_and_time_of_blood_collection, "
3197,21495,Date of measurement,IMPC_CBC_047_001,"Date of measurement date_of_measurement, "
3198,21496,Hemolysis status,IMPC_CBC_048_001,"Hemolysis status hemolysis_status, "
3199,21497,Blood collection experimenter ID,IMPC_CBC_049_001,"Blood collection experimenter ID , "
3200,21498,Date equipment last calibrated,IMPC_CBC_050_001,"Date equipment last calibrated , "
3201,21499,Blood collection tubes,IMPC_CBC_039_001,"Blood collection tubes , "
3202,21500,Date and time of sacrifice,IMPC_CBC_040_001,"Date and time of sacrifice , "
3203,21501,Storage temperature from blood collection till measurement,IMPC_CBC_041_001,"Storage temperature from blood collection till measurement , "
3204,21502,Blood analysis experimenter ID,IMPC_CBC_051_001,"Blood analysis experimenter ID , "
3205,21503,Glycosilated hemoglobin A1c (HbA1c),IMPC_CBC_052_001,"Glycosilated hemoglobin A1c (HbA1c) , "
3206,21504,Thyroxine,IMPC_CBC_053_001,"Thyroxine , "
3207,21505,Magnesium,IMPC_CBC_054_001,"Magnesium NA, "
3208,21506,Reagent manufacturer,IMPC_CBC_060_001,"Reagent manufacturer NA, "
3209,31881,Tail - presence,IMPC_CSD_001_001,"Tail - presence tail_presence, "
3210,31882,Tail - length,IMPC_CSD_002_001,"Tail - length tail_length, "
3211,31883,Tail - thickness,IMPC_CSD_003_001,"Tail - thickness tail_thickness, "
3212,31884,Tail - morphology,IMPC_CSD_004_001,"Tail - morphology tail_morphology, "
3213,31885,Coat - color - back,IMPC_CSD_005_001,"Coat - color - back coat_color_back, "
3214,31886,Coat - color - head,IMPC_CSD_006_001,"Coat - color - head coat_color_head, "
3215,31887,Coat - color - abdomen,IMPC_CSD_007_001,"Coat - color - abdomen coat_color_abdomen, "
3216,31888,Coat - color pattern - back,IMPC_CSD_008_001,"Coat - color pattern - back coat_color_pattern_back, "
3217,31889,Coat - color pattern - head,IMPC_CSD_009_001,"Coat - color pattern - head coat_color_pattern_head, "
3218,31890,Coat - color pattern - abdomen,IMPC_CSD_010_001,"Coat - color pattern - abdomen coat_color_pattern_abdomen, "
3219,31891,Coat - hair distribution - back,IMPC_CSD_011_001,"Coat - hair distribution - back coat_hair_distribution_back, "
3220,31892,Coat - hair distribution - head,IMPC_CSD_012_001,"Coat - hair distribution - head coat_hair_distribution_head, "
3221,31893,Coat - hair distribution - abdomen,IMPC_CSD_013_001,"Coat - hair distribution - abdomen coat_hair_distribution_abdomen, "
3222,31894,Coat - hair texture / appearance - back,IMPC_CSD_014_001,"Coat - hair texture / appearance - back coat_hair_texture_appearance_back, "
3223,31895,Coat - hair texture / appearance - head,IMPC_CSD_015_001,"Coat - hair texture / appearance - head coat_hair_texture_appearance_head, "
3224,31896,Coat - hair texture / appearance - abdomen,IMPC_CSD_016_001,"Coat - hair texture / appearance - abdomen coat_hair_texture_appearance_abdomen, "
3225,31897,Forelimbs - position,IMPC_CSD_017_001,"Forelimbs - position forelimbs_position, "
3226,31898,Forelimbs - shape,IMPC_CSD_018_001,"Forelimbs - shape forelimbs_shape, "
3227,31899,Forelimbs - size,IMPC_CSD_019_001,"Forelimbs - size forelimbs_size, "
3228,31900,Hindlimbs - position,IMPC_CSD_020_001,"Hindlimbs - position hindlimbs_position, "
3229,31901,Hindlimbs - shape,IMPC_CSD_021_001,"Hindlimbs - shape hindlimbs_shape, "
3230,31902,Hindlimbs - size,IMPC_CSD_022_001,"Hindlimbs - size hindlimbs_size, "
3231,31903,Vibrissae - presence,IMPC_CSD_023_001,"Vibrissae - presence vibrissae_presence, "
3232,31904,Vibrissae - appearance,IMPC_CSD_024_001,"Vibrissae - appearance vibrissae_appearance, "
3233,31905,Head size,IMPC_CSD_025_001,"Head size head_size, "
3234,31906,Head morphology,IMPC_CSD_026_001,"Head morphology head_morphology, "
3235,31907,Ears,IMPC_CSD_027_001,"Ears ears, "
3236,31908,Snout size,IMPC_CSD_028_001,"Snout size snout_size, "
3237,31909,Activity (body position),IMPC_CSD_029_001,"Activity (body position) activity_body_position_, "
3238,31910,Tremor,IMPC_CSD_030_001,"Tremor tremor, "
3239,31911,Transfer arousal,IMPC_CSD_031_001,"Transfer arousal transfer_arousal, "
3240,31912,Locomotor activity,IMPC_CSD_032_001,"Locomotor activity locomotor_activity, "
3241,31913,Gait,IMPC_CSD_033_001,"Gait gait, "
3242,31914,Tail elevation,IMPC_CSD_034_001,"Tail elevation tail_elevation, "
3243,31915,Touch escape,IMPC_CSD_035_001,"Touch escape touch_escape, "
3244,31916,Startle response,IMPC_CSD_036_001,"Startle response startle_response, "
3245,31917,Unexpected behaviors,IMPC_CSD_037_001,"Unexpected behaviors unexpected_behaviors, "
3246,31918,Trunk curl,IMPC_CSD_038_001,"Trunk curl trunk_curl, "
3247,31919,Limb grasp,IMPC_CSD_039_001,"Limb grasp limb_grasp, "
3248,31920,Forelimb digit - size,IMPC_CSD_046_001,"Forelimb digit - size forelimb_digit_size, "
3249,31921,Hindlimb digit - size,IMPC_CSD_047_001,"Hindlimb digit - size hindlimb_digit_size, "
3250,31922,Skin color - whole body,IMPC_CSD_056_001,"Skin color - whole body skin_color_whole_body, "
3251,31923,Skin color - snout,IMPC_CSD_057_001,"Skin color - snout skin_color_snout, "
3252,31924,Skin color - ear,IMPC_CSD_058_001,"Skin color - ear skin_color_ear, "
3253,31925,Skin color - front paws,IMPC_CSD_059_001,"Skin color - front paws skin_color_front_paws, "
3254,31926,Skin color - back paws,IMPC_CSD_060_001,"Skin color - back paws skin_color_back_paws, "
3255,31927,Skin color - tail,IMPC_CSD_061_001,"Skin color - tail skin_color_tail, "
3256,31928,Skin texture - whole body,IMPC_CSD_062_001,"Skin texture - whole body skin_texture_whole_body, "
3257,31929,Skin texture - snout,IMPC_CSD_063_001,"Skin texture - snout skin_texture_snout, "
3258,31930,Skin texture - ear,IMPC_CSD_064_001,"Skin texture - ear skin_texture_ear, "
3259,31931,Skin texture - front paws,IMPC_CSD_065_001,"Skin texture - front paws skin_texture_front_paws, "
3260,31932,Skin texture - back paws,IMPC_CSD_066_001,"Skin texture - back paws skin_texture_back_paws, "
3261,31933,Skin texture - tail,IMPC_CSD_067_001,"Skin texture - tail skin_texture_tail, "
3262,31934,Teeth presence,IMPC_CSD_068_001,"Teeth presence teeth_presence, "
3263,31935,Upper teeth appearance,IMPC_CSD_069_001,"Upper teeth appearance upper_teeth_appearance, "
3264,31936,Lower teeth appearance,IMPC_CSD_070_001,"Lower teeth appearance lower_teeth_appearance, "
3265,31937,Genitalia - presence,IMPC_CSD_071_001,"Genitalia - presence genitalia_presence, "
3266,31938,Genitalia - size,IMPC_CSD_072_001,"Genitalia - size genitalia_size, "
3267,31939,Genitalia - morphology,IMPC_CSD_073_001,"Genitalia - morphology genitalia_morphology, "
3268,31940,Mouth morphology,IMPC_CSD_074_001,"Mouth morphology mouth_morphology, "
3269,31941,Upper lip morphology,IMPC_CSD_075_001,"Upper lip morphology upper_lip_morphology, "
3270,31942,Lower lip morphology,IMPC_CSD_076_001,"Lower lip morphology lower_lip_morphology, "
3271,31943,Contact righting,IMPC_CSD_077_001,"Contact righting contact_righting, "
3272,31944,Vocalization,IMPC_CSD_078_001,"Vocalization vocalization, "
3273,31945,Aggression,IMPC_CSD_079_001,"Aggression aggression, "
3274,31946,Head bobbing,IMPC_CSD_080_001,"Head bobbing head_bobbing, "
3275,31947,Experimenter ID,IMPC_CSD_081_001,"Experimenter ID , "
3276,31948,Location of test,IMPC_CSD_082_001,"Location of test location_of_test, "
3277,31949,Number of animals in cage,IMPC_CSD_083_001,"Number of animals in cage number_of_animals, "
3278,31950,Number of days since cage changed,IMPC_CSD_084_001,"Number of days since cage changed , "
3279,31951,Images,IMPC_CSD_085_001,"Images , "
3280,31952,Size of squares in arena,IMPC_CSD_086_001,"Size of squares in arena , "
3281,31953,Comments (in English),IMPC_CSD_087_001,"Comments (in English) General comments, in English, "
3282,31954,Forepaw - size,IMPC_CSD_040_002,"Forepaw - size forepaw_size, "
3283,31955,Hindpaw - size,IMPC_CSD_041_002,"Hindpaw - size hindpaw_size, "
3284,31956,Forepaw - shape,IMPC_CSD_042_002,"Forepaw - shape forepaw_shape, "
3285,31957,Hindpaw - shape,IMPC_CSD_043_002,"Hindpaw - shape hindpaw_shape, "
3286,31958,Forelimb digit - number,IMPC_CSD_044_002,"Forelimb digit - number forelimb_digit_number, "
3287,31959,Hindlimb digit - number,IMPC_CSD_045_002,"Hindlimb digit - number hindlimb_digit_number, "
3288,31960,Forelimb digit - shape,IMPC_CSD_048_002,"Forelimb digit - shape forelimb_digit_shape, "
3289,31961,Hindlimb digit - shape,IMPC_CSD_049_002,"Hindlimb digit - shape hindlimb_digit_shape, "
3290,31962,Forelimb nail - number,IMPC_CSD_050_002,"Forelimb nail - number forelimb_nail_number, "
3291,31963,Hindlimb nail - number,IMPC_CSD_051_002,"Hindlimb nail - number hindlimb_nail_number, "
3292,31964,Hindlimb nail - length,IMPC_CSD_053_002,"Hindlimb nail - length hindlimb_nail_length, "
3293,31965,Forelimb nail - length,IMPC_CSD_052_002,"Forelimb nail - length forelimb_nail_length, "
3294,31966,Forelimb nail - shape,IMPC_CSD_054_002,"Forelimb nail - shape forelimb_nail_shape, "
3295,31967,Hindlimb nail - shape,IMPC_CSD_055_002,"Hindlimb nail - shape hindlimb_nail_shape, "
3296,40745,Embryo reconstruction,IMPC_EMO_001_001,"Embryo reconstruction , "
3297,40746,Experimenter ID,IMPC_EMO_002_001,"Experimenter ID NA, "
3298,40747,Equipment ID,IMPC_EMO_003_001,"Equipment ID NA, "
3299,40748,Equipment Manufacturer,IMPC_EMO_004_001,"Equipment Manufacturer NA, "
3300,40749,Equipment Model,IMPC_EMO_005_001,"Equipment Model NA, "
3301,40750,Equipment Version,IMPC_EMO_006_001,"Equipment Version NA, "
3302,40751,Image Pixel Size,IMPC_EMO_007_001,"Image Pixel Size NA, "
3303,40752,E14.5-E15.5 MicroCT Preparation protocol,IMPC_EMO_008_001,"E14.5-E15.5 MicroCT Preparation protocol , "
3304,40753,Object to Source,IMPC_EMO_009_001,"Object to Source NA, "
3305,40754,Camera to Source,IMPC_EMO_010_001,"Camera to Source NA, "
3306,40755,Date equipment last calibrated,IMPC_EMO_011_001,"Date equipment last calibrated NA, "
3307,40756,Date of Sacrifice,IMPC_EMO_012_001,"Date of Sacrifice NA, "
3308,40757,Date Preparation Finished,IMPC_EMO_013_001,"Date Preparation Finished NA, "
3309,40758,Date of Scan,IMPC_EMO_014_001,"Date of Scan NA, "
3310,40759,Source Voltage,IMPC_EMO_015_001,"Source Voltage NA, "
3311,40760,Source Current,IMPC_EMO_016_001,"Source Current NA, "
3312,40761,Screenshots,IMPC_EMO_017_001,"Screenshots , "
3313,67929,Spleen weight,IMPC_IMM_001_002,"Spleen weight , "
3314,67930,Live leukocytes (Panel A) -  % of total events,IMPC_IMM_002_002,"Live leukocytes (Panel A) -  % of total events , "
3315,67931,T cells (Panel A) - % of live leukocytes (Panel A),IMPC_IMM_003_002,"T cells (Panel A) - % of live leukocytes (Panel A) , "
3316,67932,NKT cells (panel A) - % of live leukocytes (Panel A),IMPC_IMM_004_002,"NKT cells (panel A) - % of live leukocytes (Panel A) , "
3317,67933,NK cells (Panel A) - % of live leukocytes (Panel A),IMPC_IMM_005_002,"NK cells (Panel A) - % of live leukocytes (Panel A) , "
3318,67934,CD4 T cells - % of live leukocytes (Panel A),IMPC_IMM_007_002,"CD4 T cells - % of live leukocytes (Panel A) , "
3319,67935,CD8+ T cells - % of live leukocytes (Panel A),IMPC_IMM_008_002,"CD8+ T cells - % of live leukocytes (Panel A) , "
3320,67936,CD4+ NKT cells - % of live leukocytes (Panel A),IMPC_IMM_011_002,"CD4+ NKT cells - % of live leukocytes (Panel A) , "
3321,67937,CD4- NKT cells - % of live leukocytes (Panel A),IMPC_IMM_013_002,"CD4- NKT cells - % of live leukocytes (Panel A) , "
3322,67938,Treg cells - % of live leukocytes (Panel A),IMPC_IMM_014_002,"Treg cells - % of live leukocytes (Panel A) , "
3323,67939,CD4+ T helper cells - % of live leukocytes (Panel A),IMPC_IMM_015_002,"CD4+ T helper cells - % of live leukocytes (Panel A) , "
3324,67940,Total events (Panel A),IMPC_IMM_026_002,"Total events (Panel A) , "
3325,67941,Total events (Panel B),IMPC_IMM_027_002,"Total events (Panel B) , "
3326,67942,Effector CD4+ T helper cells - % of live leukocytes (Panel A),IMPC_IMM_028_002,"Effector CD4+ T helper cells - % of live leukocytes (Panel A) , "
3327,67943,Resting CD4+ T helper cells - % of live leukocytes (Panel A),IMPC_IMM_029_002,"Resting CD4+ T helper cells - % of live leukocytes (Panel A) , "
3328,67944,Effector CD8+ T cells - % of live leukocytes (Panel A),IMPC_IMM_032_002,"Effector CD8+ T cells - % of live leukocytes (Panel A) , "
3329,67945,NaÃÂ¯ve CD8+ T cells - % of live leukocytes (Panel A),IMPC_IMM_033_002,"NaÃÂ¯ve CD8+ T cells - % of live leukocytes (Panel A) , "
3330,67946,Resting CD8+ T cells - % of live leukocytes (Panel A),IMPC_IMM_034_002,"Resting CD8+ T cells - % of live leukocytes (Panel A) , "
3331,67947,Effector CD4+ NKT cells - % of live leukocytes (Panel A),IMPC_IMM_040_002,"Effector CD4+ NKT cells - % of live leukocytes (Panel A) , "
3332,67948,Resting CD4+ NKT cells - % of live leukocytes (Panel A),IMPC_IMM_041_002,"Resting CD4+ NKT cells - % of live leukocytes (Panel A) , "
3333,67949,Effector CD4- NKT cells - % of live leukocytes (Panel A),IMPC_IMM_046_002,"Effector CD4- NKT cells - % of live leukocytes (Panel A) , "
3334,67950,Resting CD4- NKT cells - % of live leukocytes (Panel A),IMPC_IMM_047_002,"Resting CD4- NKT cells - % of live leukocytes (Panel A) , "
3335,67951,Live leukocytes (Panel B) -  % of total events (Panel B),IMPC_IMM_049_002,"Live leukocytes (Panel B) -  % of total events (Panel B) , "
3336,67952,Granulocytes - % of live leukocytes (Panel B),IMPC_IMM_050_002,"Granulocytes - % of live leukocytes (Panel B) , "
3337,67953,Monocytes - % of live leukocytes (Panel B),IMPC_IMM_051_002,"Monocytes - % of live leukocytes (Panel B) , "
3338,67954,Eosinophils - % of live leukocytes (Panel B),IMPC_IMM_052_002,"Eosinophils - % of live leukocytes (Panel B) , "
3339,67955,NK cells (Panel B) - % of live leukocytes (Panel B),IMPC_IMM_053_002,"NK cells (Panel B) - % of live leukocytes (Panel B) , "
3340,67956,Ly6C+ CD11b- NK cells - % of live leukocytes (Panel B),IMPC_IMM_054_002,"Ly6C+ CD11b- NK cells - % of live leukocytes (Panel B) , "
3341,67957,Ly6C+ CD11b+ NK cells - % of live leukocytes (Panel B),IMPC_IMM_055_002,"Ly6C+ CD11b+ NK cells - % of live leukocytes (Panel B) , "
3342,67958,CD11b- NK cells - % of live leukocytes (Panel B),IMPC_IMM_056_002,"CD11b- NK cells - % of live leukocytes (Panel B) , "
3343,67959,CD11b+ NK cells - % of live leukocytes (Panel B),IMPC_IMM_057_002,"CD11b+ NK cells - % of live leukocytes (Panel B) , "
3344,67960,NKT cells (panel B) - % of live leukocytes (Panel B),IMPC_IMM_058_002,"NKT cells (panel B) - % of live leukocytes (Panel B) , "
3345,67961,Ly6C+ NKT cells - % of live leukocytes (Panel B),IMPC_IMM_059_002,"Ly6C+ NKT cells - % of live leukocytes (Panel B) , "
3346,67962,T cells (panel B) - % of live leukocytes (Panel B),IMPC_IMM_061_002,"T cells (panel B) - % of live leukocytes (Panel B) , "
3347,67963,B cells - % of live leukocytes (Panel B),IMPC_IMM_063_002,"B cells - % of live leukocytes (Panel B) , "
